price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city
485000,4,3,2340,1,0,0,4,1340,1000,1979,0,Kirkland
400000,2,1.75,2110,1,0,0,2,2110,0,1948,0,Shoreline
549000,2,1,1140,1,0,0,5,1140,0,1908,0,Seattle
620000,3,1.75,1480,2.5,0,0,3,1480,0,2005,0,Kirkland
405000,2,3,1410,2,0,0,3,1140,270,2006,0,Seattle
232000,2,1,1200,1,0,0,4,1200,0,1958,1972,Des Moines
800866,5,2.5,3180,2,0,0,4,3180,0,1990,0,Kirkland
650000,3,1.5,2160,1,0,2,4,1400,760,1949,1985,Seattle
823000,6,1.75,2920,2.5,0,0,4,2780,140,1908,0,Seattle
770000,3,2,2350,1.5,0,0,4,1810,540,1939,1989,Seattle
524000,3,1.75,1560,1,0,0,4,780,780,1944,0,Seattle
541125,5,2.75,2740,1,0,0,4,1370,1370,1960,2001,Bellevue
670000,3,2.5,1680,3,0,0,3,1680,0,1909,1998,Seattle
384900,5,2.5,3090,1,0,0,3,1750,1340,1968,1997,Federal Way
406100,3,2.25,1410,3,0,0,3,1410,0,2005,0,Seattle
1395000,5,3.5,4010,2,0,1,5,2850,1160,1971,0,Seattle
736500,4,2.5,3180,2,0,3,3,3180,0,2000,0,Renton
570000,3,2.25,2010,1,0,0,3,1330,680,1975,0,Redmond
787000,3,1.75,1330,1,0,0,3,1330,0,1961,2004,Bellevue
328000,4,2.5,2370,2,0,0,3,2370,0,1998,2006,Auburn
435000,5,2,1840,1,0,0,4,1540,300,1942,1958,Seattle
499000,4,2.5,2910,2,0,0,3,2910,0,2006,0,Snoqualmie
501000,4,1,2070,1,0,0,3,1160,910,1963,2008,Bellevue
1090000,4,2.5,4340,2.5,0,0,3,4340,0,1992,0,Redmond
400000,2,1,840,1,0,0,3,840,0,1955,2005,Seattle
220000,4,1.5,1240,1,0,0,3,1240,0,1971,0,Federal Way
657100,4,1,1390,1,0,0,3,1050,340,1924,2011,Seattle
309950,4,2.75,2310,2,0,0,3,2310,0,2006,0,Maple Valley
300000,3,2,1050,1,0,0,3,1050,0,1986,0,Duvall
525888,5,1.75,2550,1,0,0,5,1810,740,1960,0,Issaquah
740000,4,1.75,2010,1.5,0,0,3,2010,0,1902,0,Seattle
340000,5,1,1120,1.5,0,0,4,1120,0,1962,0,Kirkland
398750,3,2.5,2230,2,0,0,3,2230,0,1954,2005,Seattle
206000,2,1,810,1,0,0,5,810,0,1944,0,Burien
1030000,5,2.75,3190,1,0,3,3,1690,1500,1976,0,Bellevue
600000,3,1.75,1670,1,0,0,4,1670,0,1976,1992,Sammamish
379950,4,1.75,1970,1,0,0,5,1140,830,1960,0,Shoreline
287000,3,1,1450,1,0,0,4,1450,0,1953,1983,Seattle
2280000,7,8,13540,3,0,4,3,9410,4130,1999,0,Redmond
309950,3,2.5,1880,2,0,0,3,1880,0,1994,0,Renton
600000,3,1.75,1880,1,0,0,4,1040,840,1945,0,Seattle
418000,3,2,1410,1.5,0,0,4,1410,0,1930,0,Seattle
449250,4,2,1480,1.5,0,0,5,1480,0,1928,1970,Seattle
329950,2,1,1140,1.5,0,0,4,1140,0,1949,1985,Seattle
245000,3,1.75,1920,1,0,0,3,1000,920,1984,0,Auburn
549000,4,2.5,2910,2,0,0,3,2910,0,2008,0,Renton
800000,3,2.5,3240,2,0,0,3,3240,0,1994,0,Sammamish
249950,3,2,1550,1,0,0,4,1550,0,1958,1972,Renton
210000,5,2,2050,1,0,0,3,1430,620,1956,2001,Des Moines
1425000,2,2.5,2220,2,0,0,3,2220,0,2000,0,Seattle
585000,2,1,1770,1.5,0,0,3,1520,250,1949,1998,Seattle
615000,4,1.75,2300,1,0,0,4,1960,340,1977,0,Redmond
618500,3,2,1800,1,0,0,4,1080,720,1942,1982,Seattle
487585,4,1.75,2010,1,0,0,3,1470,540,1977,2004,Kirkland
509900,3,2.5,1790,2,0,0,3,1790,0,2010,0,Issaquah
631625,4,2.5,2440,2,0,0,3,2440,0,2014,0,Seattle
555000,3,2.5,1940,2,0,0,3,1940,0,2009,0,Issaquah
340000,2,1.5,1160,2,0,0,3,1160,0,2001,0,Seattle
830000,4,2.5,3400,2,0,0,3,3400,0,2007,0,Redmond
890000,4,4.25,4420,2,0,0,3,3410,1010,2006,0,Issaquah
366750,3,3,1571,3,0,0,3,1571,0,2008,0,Seattle
415000,3,2.25,1620,2.5,0,0,3,1540,80,2010,0,Issaquah
416286,3,2.5,1408,3,0,0,3,1408,0,2005,0,Seattle
478000,3,2.5,3040,2,0,0,3,3040,0,2007,0,Renton
890000,5,3.5,4490,2,0,0,3,3200,1290,2006,0,Issaquah
419190,2,2.5,1590,2,0,0,3,1590,0,2014,0,Issaquah
712198,4,2.5,2450,2,0,0,3,2450,0,2013,1923,Redmond
397000,4,2,1440,1,0,0,3,1200,240,1971,0,Kirkland
450000,2,2,1100,1.5,0,0,3,1100,0,1912,2005,Seattle
353000,3,1,1350,1,0,0,4,860,490,1947,1988,Seattle
609000,4,2.5,2150,2,0,0,3,2150,0,1985,0,Redmond
234000,3,1.75,1490,1,0,0,4,1010,480,1975,0,Covington
561000,3,2,2000,2,0,0,3,2000,0,1916,1986,Seattle
469000,2,1,1030,1,0,0,3,1030,0,1924,2011,Seattle
329350,2,1,720,1,0,0,3,720,0,1942,1999,Seattle
488000,5,2,2020,1.5,0,0,4,2020,0,1938,0,Seattle
279900,3,1.75,1580,1,0,1,4,1100,480,1962,0,Des Moines
606000,4,2.5,2110,2,0,0,3,2110,0,1987,2000,Issaquah
312000,4,2,1300,1,0,0,3,1300,0,1950,2013,Seattle
650000,3,1.5,1630,1,0,1,3,1160,470,1940,1996,Seattle
1135000,4,2.75,3370,1,0,3,3,1970,1400,1970,2014,Seattle
325000,4,2.5,1890,1,0,0,3,980,910,1980,0,Seattle
425000,4,2,1520,1,0,0,5,1520,0,1967,0,Inglewood-Finn Hill
219000,2,1,900,1,0,0,3,900,0,1952,2008,Seattle
250000,3,1,1050,1,0,0,3,1050,0,1954,2005,Shoreline
390000,3,1.75,1260,1,0,0,4,1260,0,1966,0,Bellevue
475000,6,3,3470,1.5,0,0,3,3470,0,1924,2011,Kenmore
736000,4,2.5,2290,2,0,0,4,2290,0,1988,0,Bellevue
407000,4,2.25,2810,1,0,1,3,1710,1100,1958,2004,Des Moines
272000,3,2.5,1650,2,0,0,3,1650,0,1998,2006,Carnation
362000,3,2.25,1640,1,0,0,4,1140,500,1963,0,Burien
535000,3,2.5,1850,2,0,0,3,1850,0,1991,0,Kirkland
284000,4,2.5,2000,2,0,0,3,2000,0,2003,0,Kent
367500,3,1.5,1410,1,0,0,3,1410,0,1961,2004,Shoreline
379900,4,1.75,1500,1,0,0,4,1000,500,1955,2009,Kenmore
520000,3,2.5,2460,2,0,0,4,2460,0,1980,0,Renton
175000,3,1,1010,1,0,0,3,1010,0,1954,2005,Renton
460000,2,2.25,1230,2,0,0,3,1020,210,2004,2003,Seattle
345000,4,2.5,2331,2,0,0,3,2331,0,2007,0,Renton
455000,5,2.5,2240,1,0,0,3,1340,900,1978,0,Kirkland
610000,4,3,2450,1,0,0,5,1580,870,1967,0,Bellevue
563000,4,3,3100,2,0,0,3,2400,700,1996,0,Kenmore
612500,4,2,2060,1,0,0,3,1030,1030,1949,2013,Seattle
218000,3,1.75,1850,1,0,0,3,1320,530,1979,2014,Federal Way
404000,4,1.75,1840,1,0,0,3,960,880,1958,2004,Bellevue
860000,4,2,3740,2,0,0,3,3740,0,2000,0,Redmond
136500,3,1.5,1420,1,0,0,3,1420,0,1962,2003,Federal Way
313950,3,1,1510,1,0,0,4,860,650,1940,2001,Seattle
575000,3,1.75,2130,1,0,2,3,1170,960,1954,2005,Seattle
1225000,4,2.25,3490,2,0,0,4,2280,1210,1928,0,Seattle
280000,3,1.75,1630,1,0,0,4,1630,0,1971,0,North Bend
515000,3,2.5,1790,2,0,0,3,1790,0,1989,0,Sammamish
513000,4,2.5,2000,2,0,0,3,2000,0,1996,0,Kenmore
599000,4,2.25,2260,2,0,0,4,1400,860,1977,0,Bellevue
685000,4,2.5,3030,2,0,0,3,3030,0,1999,0,Sammamish
365000,3,1.5,1310,1,0,0,3,1310,0,1950,2005,Seattle
762300,4,2.5,3880,2,0,0,3,3880,0,1987,2000,Sammamish
1580000,4,3.25,3760,1.5,0,0,5,2400,1360,1950,0,Seattle
562000,5,2.25,3040,2,0,0,3,3040,0,1984,0,Redmond
530000,5,2.5,2910,1,0,0,4,1690,1220,1964,0,Bellevue
525000,3,2.5,2970,1,0,0,3,1770,1200,1995,0,Sammamish
484000,2,1.75,1660,1,0,0,3,1160,500,1942,1999,Seattle
725126,4,2.5,3200,2,0,0,3,3200,0,1998,2006,Newcastle
360000,4,2,2680,1,0,0,5,2680,0,1965,0,Auburn
387000,3,1,1230,1,0,0,5,1230,0,1962,0,Newcastle
483500,4,2.5,2740,2,0,0,3,2740,0,1995,0,Woodinville
655500,4,3.5,3380,2,0,0,3,3380,0,2000,0,Shoreline
345000,3,1,1110,1,0,0,3,1110,0,1956,2001,Seattle
533000,5,2.75,1800,1.5,0,0,3,1400,400,1926,2003,Seattle
385000,3,1.75,1900,1,0,0,3,1280,620,1982,0,Seattle
675000,2,1,930,1,0,2,3,930,0,1951,1994,Bellevue
197000,3,1.75,1690,1,0,0,4,1060,630,1976,1992,Auburn
485000,3,2,1420,1.5,0,0,3,1420,0,1905,2013,Seattle
1870000,5,4,4510,2,0,0,3,4510,0,1969,2002,Mercer Island
295000,3,2.25,1980,1,0,0,4,1560,420,1974,0,Federal Way
499000,2,1.75,1170,1,0,0,4,740,430,1903,0,Seattle
1050000,3,2.5,2200,2,0,0,3,1610,590,2008,0,Seattle
191000,3,1.5,800,1,0,0,4,800,0,1959,0,Federal Way
500000,3,2.5,1480,3,0,0,3,1480,0,2006,0,Seattle
390000,5,3.75,2890,1,0,0,3,1310,1580,2006,0,Seattle
979000,3,2.5,2690,3,0,0,3,2690,0,2014,0,Seattle
580000,4,3.25,3569,2,0,0,3,3569,0,2013,1923,Renton
369950,3,2,1270,3,0,0,3,1270,0,2006,0,Seattle
1800000,5,5,4490,2,0,0,3,3930,560,2013,1923,Bellevue
776000,4,2.5,3040,2,0,0,3,3040,0,2008,0,Redmond
519950,3,2.25,1170,3,0,0,3,1170,0,2014,0,Seattle
255000,5,2.25,2060,1,0,0,3,1030,1030,1962,2003,Burien
495000,3,1,990,1,0,0,3,990,0,1943,2002,Seattle
510000,4,2.5,2430,2,0,0,3,2430,0,2003,0,Shoreline
1150000,4,4,4460,2,0,0,3,4460,0,2001,0,Redmond
253000,3,1.75,1250,1,0,0,3,1250,0,1994,0,Black Diamond
503000,3,2.75,1540,1,0,0,5,1210,330,1980,0,Kirkland
275000,3,2.5,1600,2,0,0,4,1600,0,1993,0,Maple Valley
249000,3,1,1110,1,0,0,3,1110,0,1952,2008,Burien
310000,3,1.75,1840,1,0,0,4,1220,620,1974,0,Renton
750000,3,2.75,2520,1,0,0,4,1360,1160,1946,1989,Seattle
630000,3,2.5,2680,2,0,0,3,2680,0,1995,0,Ravensdale
599999,9,4.5,3830,2.5,0,0,3,2450,1380,1938,2003,Seattle
758000,4,2.75,2410,1,0,0,4,1780,630,1956,0,Kirkland
248500,4,1.75,1720,1,0,0,5,1720,0,1960,0,Covington
310000,3,1.75,2070,1,0,0,4,1420,650,1973,0,Kent
460000,3,2,1760,2,0,0,4,1760,0,1985,0,Redmond
675000,3,1.75,1680,1,0,0,4,1680,0,1959,0,Bellevue
526000,2,2,1550,1.5,0,0,4,1550,0,1900,1971,Seattle
560000,3,3,4120,2,0,2,3,3180,940,1994,0,Carnation
415000,4,3,1830,2,0,0,3,1830,0,1991,0,Bothell
246000,3,1,1400,1,0,0,3,1400,0,1944,0,Burien
314500,3,1.75,1870,1,0,0,4,1870,0,1957,2001,Federal Way
3200000,7,4.5,6210,2.5,0,2,5,4760,1450,1910,0,Seattle
420000,2,1.5,1040,1.5,0,0,4,1040,0,1904,0,Seattle
535000,3,1.75,2720,1.5,0,0,3,2720,0,1988,2000,Carnation
350000,3,1,1010,1,0,0,3,1010,0,1981,2013,Kirkland
515000,3,1.75,1580,1,0,1,4,1210,370,1967,0,Bellevue
749950,4,2.75,2600,2,0,0,5,1960,640,1949,0,Seattle
230000,3,2.5,1920,2,0,0,3,1920,0,1988,2000,Renton
568000,3,2,2350,1.5,0,0,3,1780,570,1929,0,Seattle
250000,1,1,1100,1,0,0,2,820,280,1947,0,Burien
581000,4,2,2510,1,0,0,4,1280,1230,1961,2001,Kirkland
651000,3,2.5,3240,2,0,0,4,3240,0,1991,0,Kent
600000,3,2.5,2460,1,0,0,4,1860,600,1977,0,Issaquah
500000,2,1,1010,1.5,0,0,4,1010,0,1906,1990,Seattle
475000,2,1,820,1,0,0,3,820,0,1921,2000,Seattle
352000,5,2.5,2420,1,0,2,3,1620,800,1978,0,Seattle
420000,3,2.25,1770,2,0,0,3,1770,0,1977,2004,Kirkland
428000,2,2,1350,1,0,0,3,1350,0,2003,0,Redmond
599000,3,1.75,1960,1,0,0,4,1090,870,1920,0,Seattle
492000,4,2.5,3305,1.5,0,0,5,2245,1060,1922,1956,Shoreline
630000,2,2.25,2550,1,0,0,3,1720,830,2011,0,Renton
900000,5,3.75,4130,2,0,0,3,3170,960,1985,0,Woodinville
1110000,4,1.5,2310,1,0,0,3,1890,420,1950,2005,Clyde Hill
575000,4,2,1650,1,0,0,3,1650,0,1955,2005,Seattle
705000,4,2.5,2650,1.5,0,0,3,1520,1130,1905,2013,Seattle
940000,4,2.25,1890,1,0,1,3,1470,420,1963,2008,Seattle
313000,3,1.75,2190,1,0,0,4,2190,0,1967,0,Federal Way
618080,3,2.5,2030,2,0,0,3,2030,0,1988,2000,Issaquah
640000,3,3,2270,2,0,0,3,2130,140,2002,0,Renton
485000,3,2,1610,1,0,0,4,1010,600,1917,0,Seattle
300000,2,1,760,1,0,0,3,760,0,1913,1983,Seattle
379500,2,1,1640,1,0,0,3,840,800,1978,0,Redmond
339950,3,2.25,1630,2,0,0,4,1630,0,1985,0,Renton
1500000,6,2.5,3560,2.5,0,0,4,3560,0,1914,1945,Seattle
1340000,3,3,2960,2,0,2,3,2440,520,1937,1990,Seattle
500000,3,2.5,1940,1,0,0,4,1940,0,1987,0,Issaquah
239900,3,2,1410,1,0,0,3,1410,0,1985,0,Kent
314950,3,1,1040,1,0,0,4,1040,0,1968,0,Renton
361280,2,1,820,1,0,0,4,820,0,1944,0,Seattle
100000,2,1,910,1,0,0,3,910,0,1956,2001,Algona
540000,7,5.75,3700,2,0,1,3,3700,0,1948,1984,Lake Forest Park
480500,4,2.5,2180,1,0,0,4,2180,0,1968,0,Woodinville
280000,3,2.5,1600,2,0,0,3,1600,0,2000,0,Auburn
440000,3,1.75,1500,1,0,0,4,1060,440,1947,1988,Seattle
530000,3,1,1340,1,0,0,3,1080,260,1910,2006,Seattle
560000,3,2,1860,1,0,0,3,1860,0,1985,0,Issaquah
775000,3,2,2540,1.5,0,3,4,1600,940,1905,0,Seattle
160000,2,1,1040,1,0,0,5,1040,0,1912,0,Kent
209950,3,1.5,1380,1,0,0,3,1380,0,1960,2012,Federal Way
226500,3,1.75,1640,1,0,0,3,1130,510,1988,2000,Covington
380000,5,1.75,3000,1,0,0,5,1500,1500,1958,0,Seattle
409500,4,2.75,2140,1,0,0,3,1320,820,1968,1997,Kenmore
690000,3,2,1760,1,0,0,4,980,780,1942,1982,Seattle
405000,3,2.25,1660,1,0,0,4,1660,0,1961,2001,Shoreline
375000,3,2.5,1830,2,0,0,3,1830,0,1990,2009,Maple Valley
794154,4,2,2210,1,0,1,4,1210,1000,1954,1979,Seattle
185000,4,1,1490,1,0,0,3,1490,0,1969,2010,Burien
245000,3,1.5,1260,2,0,0,3,1040,220,2005,0,Seattle
1532500,5,4.5,4270,2,0,0,3,3400,870,2007,0,Kirkland
1040000,4,3.5,3900,2,0,0,3,3900,0,2006,0,Kirkland
425000,2,2.5,1150,3,0,0,3,1150,0,2008,0,Seattle
495000,4,2.75,2656,2,0,0,3,2656,0,2014,0,Auburn
365000,5,2.75,2410,1,0,0,3,1410,1000,2008,0,Seattle
417250,3,2.25,1606,3,0,0,3,1606,0,2009,0,Seattle
339950,2,1,820,3,0,0,3,820,0,2006,0,Seattle
615000,2,1,1540,1,0,0,4,820,720,1946,1989,Seattle
403000,3,2.75,2090,2,0,0,3,2090,0,2012,1912,Duvall
980000,5,2.5,3160,1,0,0,4,1780,1380,1971,0,Mercer Island
258000,4,1.75,1730,1,0,0,3,1230,500,1977,2004,Federal Way
533000,3,1,1670,1,0,0,3,1170,500,1967,2011,Seattle
537500,4,2.5,2550,2,0,0,3,2550,0,2005,0,Sammamish
830000,5,3,3040,1,0,0,5,1970,1070,1968,0,Mercer Island
712000,3,1,1250,1.5,0,0,4,1150,100,1900,1971,Seattle
262000,4,2.5,2020,2,0,0,3,2020,0,2002,0,Algona
753888,4,2.5,2660,2,0,2,3,2660,0,2003,0,Issaquah
134000,2,1.5,980,2,0,0,3,980,0,1922,2003,Skykomish
402000,3,2.5,1960,1,0,0,4,1290,670,1977,0,Kirkland
205000,2,1,720,1,0,0,3,720,0,1955,2005,Seattle
553650,2,2.5,1360,2,0,0,3,1050,310,1997,0,Seattle
559950,2,2,1870,1,0,0,3,1870,0,2006,0,Redmond
260000,4,1.5,2130,1,0,0,3,1100,1030,1962,2003,Kent
270000,4,2.5,1810,2,0,0,3,1810,0,1994,0,Kent
295000,2,1.75,2200,1,0,0,3,1100,1100,1973,2013,Issaquah
719000,3,2.5,1690,1.5,0,1,4,1690,0,1928,0,Seattle
266000,3,2.5,1940,1,0,0,3,1460,480,1989,0,Kent
325900,4,2.5,2320,2,0,0,3,2320,0,2004,2003,Kent
647500,4,1.75,2060,1,0,0,4,1160,900,1947,1988,Normandy Park
1039000,4,1,3410,2,0,0,5,2190,1220,1910,0,Seattle
569000,4,2.25,2250,2,0,0,3,2250,0,1980,0,Redmond
246000,3,1.75,1390,1,0,0,4,1390,0,1975,0,Kent
515000,2,1,1060,1,0,0,3,1060,0,1926,2003,Seattle
207000,3,1,1490,1,0,0,4,1490,0,1954,1979,Seattle
780000,4,1.75,2480,1,0,0,3,1390,1090,1950,2005,Bellevue
489990,5,2.25,2440,1.5,0,0,4,2440,0,1975,0,Kent
335000,3,1.5,2240,1.5,0,0,2,1480,760,1980,0,Auburn
295000,3,2.5,1920,2,0,0,3,1920,0,1993,0,Federal Way
385000,3,1.75,1890,1,0,0,3,1230,660,1944,0,Seattle
350000,4,1.75,2250,1,0,0,4,2150,100,1940,2001,Kent
235000,2,1,1270,1,0,0,4,650,620,1923,0,Seattle
358000,2,1.5,960,2,0,0,3,960,0,1993,0,Seattle
716500,4,2.5,3290,2,0,0,3,3290,0,2002,0,Sammamish
228000,4,1.75,2000,1,0,0,3,1100,900,1965,1993,Seattle
405000,2,1,1020,1,0,0,4,1020,0,1948,0,Seattle
538000,4,1.75,1840,1,0,0,3,1220,620,1967,2011,Redmond
530000,3,1.75,1980,1,0,0,4,1980,0,1973,0,Bellevue
1750000,6,3,3510,2.5,0,0,4,3510,0,1906,1990,Seattle
636000,2,1.75,1230,1.5,0,0,5,1230,0,1925,0,Seattle
535000,4,2.5,2280,2,0,0,3,2280,0,2004,2003,Woodinville
1500000,3,1.75,2430,1,0,2,4,1340,1090,1952,0,Bellevue
868500,3,2.5,2920,3,0,0,3,2920,0,2008,0,Renton
530000,4,2.75,2280,1.5,0,0,4,1540,740,1930,0,Seattle
450000,3,2,1510,1,0,0,3,1510,0,1954,2005,Woodinville
230000,3,1.75,950,1,0,0,3,790,160,1939,1969,Seattle
229000,3,2.5,1190,2,0,0,3,1190,0,2002,0,Tukwila
437000,3,1.75,1310,1,0,0,4,1310,0,1976,1992,Redmond
1307000,5,3.25,2800,1.5,0,0,5,1910,890,1932,2002,Seattle
595000,3,2.5,1750,2,0,0,4,1750,0,1991,0,Kirkland
660000,3,1.75,1320,1.5,0,0,5,1320,0,1918,0,Seattle
347500,4,2.5,2460,2,0,0,3,2460,0,1989,0,Federal Way
297950,3,2,1240,1,0,0,3,1240,0,1967,2010,Renton
245000,3,1.5,1260,1,0,0,4,1260,0,1955,2009,Des Moines
543200,6,2.25,2820,1.5,0,2,5,1970,850,1940,0,Burien
1250000,4,3.25,3820,2,0,1,4,3310,510,1990,0,Mercer Island
413450,3,2.5,1540,3,0,0,3,1470,70,2008,0,Seattle
330000,2,2,1550,1.5,0,0,2,1550,0,1972,0,Snoqualmie
424500,3,1.75,1460,1,0,0,3,1460,0,1979,2014,Redmond
230000,3,1,1390,1,0,0,4,1390,0,1960,2001,Algona
930000,3,3.25,2640,2,0,0,3,1840,800,1912,2000,Seattle
349000,3,1.75,1590,1,0,0,3,1590,0,1988,2000,Renton
835000,4,2,1910,1.5,0,0,5,1910,0,1941,0,Seattle
988500,3,2.75,2015,2,1,4,3,2015,0,2007,0,Burien
500000,3,1.75,1410,3,0,0,3,1410,0,2012,1912,Seattle
499000,2,1.5,1110,2,0,0,3,930,180,2005,0,Seattle
321950,2,1.25,860,2,0,0,3,860,0,2007,0,Seattle
494000,3,2.5,2310,2,0,0,3,2310,0,2011,0,Kenmore
441750,2,1.5,1020,3,0,0,3,1020,0,2008,0,Seattle
438000,2,1,980,2,0,0,3,980,0,2010,0,Seattle
985000,4,2.25,4230,2,0,0,3,4230,0,1989,0,Woodinville
352000,3,2.25,1640,1,0,0,4,1640,0,1972,0,Renton
839900,4,3.5,3810,1,0,1,3,2560,1250,2013,1923,Renton
765000,4,2.75,2790,2,0,0,3,2790,0,1996,0,Issaquah
